"gene_id","CD0-ND0","CD3-ND3","CD4-ND4"
"ATU_RS02990","None","Up","Up"
"ATU_RS02995","None","Up","Up"
"ATU_RS03000","None","None","None"
"ATU_RS03005","None","None","None"
"ATU_RS03010","None","None","None"
"ATU_RS03015","None","None","None"
"ATU_RS03020","None","Up","None"
"ATU_RS03025","None","None","None"
"ATU_RS03030","None","None","None"
"ATU_RS03035","None","Up","Up"
"ATU_RS03040","None","None","Up"
"ATU_RS03045","None","None","Up"
"ATU_RS03050","None","None","None"
"ATU_RS03055","None","Down","Down"
"ATU_RS03060","None","None","None"
"ATU_RS03065","None","Down","Down"
"ATU_RS03070","None","None","None"
"ATU_RS03075","None","None","None"
"ATU_RS03080","None","None","None"
"ATU_RS03085","None","None","None"
"ATU_RS03090","None","Up","None"
"ATU_RS03095","None","Up","None"
"ATU_RS03100","None","None","None"
"ATU_RS03105","None","Down","None"
"ATU_RS03110","None","None","None"
"ATU_RS03115","None","Up","None"
"ATU_RS03120","None","None","None"
"ATU_RS03125","None","None","None"
"ATU_RS03130","None","None","None"
"ATU_RS03140","None","None","None"
"ATU_RS03145","None","None","Down"
"ATU_RS03150","None","None","None"
"ATU_RS03155","None","Down","None"
"ATU_RS03160","None","Up","None"
"ATU_RS03165","None","None","None"
"ATU_RS03170","None","None","None"
"ATU_RS03175","None","None","Down"
"ATU_RS03180","None","None","None"
"ATU_RS03185","None","None","None"
"ATU_RS03190","None","Up","None"
"ATU_RS03195","None","None","None"
"ATU_RS03200","None","Down","Down"
"ATU_RS03205","None","Down","Down"
"ATU_RS03210","None","None","None"
"ATU_RS03215","None","None","None"
"ATU_RS03220","None","None","None"
"ATU_RS03225","None","None","None"
"ATU_RS03230","None","None","None"
"ATU_RS03235","None","None","None"
"ATU_RS03240","None","None","None"
"ATU_RS03245","None","None","Down"
"ATU_RS03250","None","None","None"
"ATU_RS03255","None","None","None"
"ATU_RS03260","None","None","None"
"ATU_RS03265","None","None","Up"
"ATU_RS03270","None","None","None"
"ATU_RS03275","None","None","None"
"ATU_RS03280","None","None","Down"
"ATU_RS03285","None","Up","None"
"ATU_RS03290","None","None","None"
"ATU_RS03295","None","None","None"
"ATU_RS03300","None","Down","Down"
"ATU_RS03305","None","Up","Up"
"ATU_RS03310","None","Up","Up"
"ATU_RS03315","None","None","None"
"ATU_RS03320","None","None","None"
"ATU_RS03325","None","Down","None"
"ATU_RS03330","None","None","None"
"ATU_RS03335","None","Up","None"
"ATU_RS03340","None","None","None"
"ATU_RS03345","None","None","Down"
"ATU_RS03350","None","None","None"
"ATU_RS03355","None","Down","Down"
"ATU_RS03360","None","Down","Down"
